season,week,player_name,player_name_norm,position,ecr_rank,pos_rank,ecr_best,ecr_worst,team,fp_player_id,scoring,era,source_page,wayback_ts,before_kick
2019,12,Lamar Jackson,lamar jackson,QB,1,1,NA,NA,BAL,17233,NA,table,qb,20191126031127,FALSE
2019,12,Matt Ryan,matt ryan,QB,2,2,NA,NA,ATL,9444,NA,table,qb,20191126031127,FALSE
2019,12,Deshaun Watson,deshaun watson,QB,3,3,NA,NA,HOU,16398,NA,table,qb,20191126031127,FALSE
2019,12,Russell Wilson,russell wilson,QB,4,4,NA,NA,SEA,11180,NA,table,qb,20191126031127,FALSE
2019,12,Drew Brees,drew brees,QB,5,5,NA,NA,NO,9200,NA,table,qb,20191126031127,FALSE
2019,12,Jameis Winston,jameis winston,QB,6,6,NA,NA,TB,13891,NA,table,qb,20191126031127,FALSE
2019,12,Baker Mayfield,baker mayfield,QB,7,7,NA,NA,CLE,17237,NA,table,qb,20191126031127,FALSE
2019,12,Aaron Rodgers,aaron rodgers,QB,8,8,NA,NA,GB,9001,NA,table,qb,20191126031127,FALSE
2019,12,Josh Allen,josh allen,QB,9,9,NA,NA,BUF,17298,NA,table,qb,20191126031127,FALSE
2019,12,Jimmy Garoppolo,jimmy garoppolo,QB,10,10,NA,NA,SF,12208,NA,table,qb,20191126031127,FALSE
2019,12,Dak Prescott,dak prescott,QB,11,11,NA,NA,DAL,15600,NA,table,qb,20191126031127,FALSE
2019,12,Derek Carr,derek carr,QB,12,12,NA,NA,OAK,12092,NA,table,qb,20191126031127,FALSE
2019,12,Tom Brady,tom brady,QB,13,13,NA,NA,NE,9603,NA,table,qb,20191126031127,FALSE
2019,12,Jacoby Brissett,jacoby brissett,QB,14,14,NA,NA,IND,15642,NA,table,qb,20191126031127,FALSE
2019,12,Jeff Driskel,jeff driskel,QB,15,15,NA,NA,DET,15615,NA,table,qb,20191126031127,FALSE
2019,12,Sam Darnold,sam darnold,QB,16,16,NA,NA,NYJ,17236,NA,table,qb,20191126031127,FALSE
2019,12,Carson Wentz,carson wentz,QB,17,17,NA,NA,PHI,15520,NA,table,qb,20191126031127,FALSE
2019,12,Nick Foles,nick foles,QB,18,18,NA,NA,JAC,11176,NA,table,qb,20191126031127,FALSE
2019,12,Ryan Tannehill,ryan tannehill,QB,19,19,NA,NA,TEN,11174,NA,table,qb,20191126031127,FALSE
2019,12,Jared Goff,jared goff,QB,20,20,NA,NA,LAR,15501,NA,table,qb,20191126031127,FALSE
2019,12,Ryan Fitzpatrick,ryan fitzpatrick,QB,21,21,NA,NA,MIA,9545,NA,table,qb,20191126031127,FALSE
2019,12,Daniel Jones,daniel jones,QB,22,22,NA,NA,NYG,18232,NA,table,qb,20191126031127,FALSE
2019,12,Mason Rudolph,mason rudolph,QB,23,23,NA,NA,PIT,17234,NA,table,qb,20191126031127,FALSE
2019,12,Kyle Allen,kyle allen,QB,24,24,NA,NA,CAR,17869,NA,table,qb,20191126031127,FALSE
2019,12,Mitch Trubisky,mitch trubisky,QB,25,25,NA,NA,CHI,16381,NA,table,qb,20191126031127,FALSE
2019,12,Dwayne Haskins,dwayne haskins,QB,26,26,NA,NA,WAS,18214,NA,table,qb,20191126031127,FALSE
2019,12,Brandon Allen,brandon allen,QB,27,27,NA,NA,DEN,15745,NA,table,qb,20191126031127,FALSE
2019,12,Ryan Finley,ryan finley,QB,28,28,NA,NA,CIN,18255,NA,table,qb,20191126031127,FALSE
2019,12,Taysom Hill,taysom hill,QB,29,29,NA,NA,NO,17115,NA,table,qb,20191126031127,FALSE
2019,12,Chase Daniel,chase daniel,QB,30,30,NA,NA,CHI,9111,NA,table,qb,20191126031127,FALSE
2019,12,Andy Dalton,andy dalton,QB,31,31,NA,NA,CIN,9907,NA,table,qb,20191126031127,FALSE
2019,12,Devlin Hodges,devlin hodges,QB,32,32,NA,NA,PIT,19063,NA,table,qb,20191126031127,FALSE
2019,12,Case Keenum,case keenum,QB,33,33,NA,NA,WAS,11425,NA,table,qb,20191126031127,FALSE
2019,12,Robert Griffin,robert griffin,QB,34,34,NA,NA,BAL,11173,NA,table,qb,20191126031127,FALSE
2019,12,Brian Hoyer,brian hoyer,QB,35,35,NA,NA,IND,9078,NA,table,qb,20191126031127,FALSE
2019,12,Josh Rosen,josh rosen,QB,36,36,NA,NA,MIA,17235,NA,table,qb,20191126031127,FALSE
2019,12,Blake Bortles,blake bortles,QB,37,37,NA,NA,LAR,12090,NA,table,qb,20191126031127,FALSE
2019,12,Ryan Griffin,ryan griffin,QB,38,38,NA,NA,TB,11872,NA,table,qb,20191126031127,FALSE
2019,12,Gardner Minshew,gardner minshew,QB,39,39,NA,NA,JAC,18562,NA,table,qb,20191126031127,FALSE
2019,12,Mike Glennon,mike glennon,QB,40,40,NA,NA,OAK,11685,NA,table,qb,20191126031127,FALSE
2019,12,Geno Smith,geno smith,QB,41,41,NA,NA,SEA,11687,NA,table,qb,20191126031127,FALSE
2019,12,Will Grier,will grier,QB,42,42,NA,NA,CAR,18241,NA,table,qb,20191126031127,FALSE
2019,12,Jarrett Stidham,jarrett stidham,QB,43,43,NA,NA,NE,18604,NA,table,qb,20191126031127,FALSE
2019,12,Teddy Bridgewater,teddy bridgewater,QB,44,44,NA,NA,NO,12088,NA,table,qb,20191126031127,FALSE
2019,12,Nick Chubb,nick chubb,RB,1,1,NA,NA,CLE,17246,NA,table,rb,20191126033421,FALSE
2019,12,Christian McCaffrey,christian mccaffrey,RB,2,2,NA,NA,CAR,16393,NA,table,rb,20191126033421,FALSE
2019,12,Alvin Kamara,alvin kamara,RB,3,3,NA,NA,NO,16421,NA,table,rb,20191126033421,FALSE
2019,12,Derrick Henry,derrick henry,RB,4,4,NA,NA,TEN,15514,NA,table,rb,20191126033421,FALSE
2019,12,Saquon Barkley,saquon barkley,RB,5,5,NA,NA,NYG,17240,NA,table,rb,20191126033421,FALSE
