season,week,player_name,player_name_norm,position,ecr_rank,pos_rank,ecr_best,ecr_worst,team,fp_player_id,scoring,era,source_page,wayback_ts,before_kick
2018,16,Patrick Mahomes,patrick mahomes,QB,1,1,NA,NA,KC,16413,NA,table,qb,20181220023604,TRUE
2018,16,Drew Brees,drew brees,QB,2,2,NA,NA,NO,9200,NA,table,qb,20181220023604,TRUE
2018,16,Ben Roethlisberger,ben roethlisberger,QB,3,3,NA,NA,PIT,9039,NA,table,qb,20181220023604,TRUE
2018,16,Andrew Luck,andrew luck,QB,4,4,NA,NA,IND,11172,NA,table,qb,20181220023604,TRUE
2018,16,Russell Wilson,russell wilson,QB,5,5,NA,NA,SEA,11180,NA,table,qb,20181220023604,TRUE
2018,16,Deshaun Watson,deshaun watson,QB,6,6,NA,NA,HOU,16398,NA,table,qb,20181220023604,TRUE
2018,16,Baker Mayfield,baker mayfield,QB,7,7,NA,NA,CLE,17237,NA,table,qb,20181220023604,TRUE
2018,16,Dak Prescott,dak prescott,QB,8,8,NA,NA,DAL,15600,NA,table,qb,20181220023604,TRUE
2018,16,Aaron Rodgers,aaron rodgers,QB,9,9,NA,NA,GB,9001,NA,table,qb,20181220023604,TRUE
2018,16,Lamar Jackson,lamar jackson,QB,10,10,NA,NA,BAL,17233,NA,table,qb,20181220023604,TRUE
2018,16,Matt Ryan,matt ryan,QB,11,11,NA,NA,ATL,9444,NA,table,qb,20181220023604,TRUE
2018,16,Jared Goff,jared goff,QB,12,12,NA,NA,LAR,15501,NA,table,qb,20181220023604,TRUE
2018,16,Mitch Trubisky,mitch trubisky,QB,13,13,NA,NA,CHI,16381,NA,table,qb,20181220023604,TRUE
2018,16,Josh Allen,josh allen,QB,14,14,NA,NA,BUF,17298,NA,table,qb,20181220023604,TRUE
2018,16,Kirk Cousins,kirk cousins,QB,15,15,NA,NA,MIN,11177,NA,table,qb,20181220023604,TRUE
2018,16,Philip Rivers,philip rivers,QB,16,16,NA,NA,LAC,9509,NA,table,qb,20181220023604,TRUE
2018,16,Tom Brady,tom brady,QB,17,17,NA,NA,NE,9603,NA,table,qb,20181220023604,TRUE
2018,16,Nick Foles,nick foles,QB,18,18,NA,NA,PHI,11176,NA,table,qb,20181220023604,TRUE
2018,16,Jameis Winston,jameis winston,QB,19,19,NA,NA,TB,13891,NA,table,qb,20181220023604,TRUE
2018,16,Marcus Mariota,marcus mariota,QB,20,20,NA,NA,TEN,13890,NA,table,qb,20181220023604,TRUE
2018,16,Sam Darnold,sam darnold,QB,21,21,NA,NA,NYJ,17236,NA,table,qb,20181220023604,TRUE
2018,16,Derek Carr,derek carr,QB,22,22,NA,NA,OAK,12092,NA,table,qb,20181220023604,TRUE
2018,16,Case Keenum,case keenum,QB,23,23,NA,NA,DEN,11425,NA,table,qb,20181220023604,TRUE
2018,16,Eli Manning,eli manning,QB,24,24,NA,NA,NYG,9213,NA,table,qb,20181220023604,TRUE
2018,16,Nick Mullens,nick mullens,QB,25,25,NA,NA,SF,16726,NA,table,qb,20181220023604,TRUE
2018,16,Josh Johnson,josh johnson,QB,26,26,NA,NA,WAS,9326,NA,table,qb,20181220023604,TRUE
2018,16,Ryan Tannehill,ryan tannehill,QB,27,27,NA,NA,MIA,11174,NA,table,qb,20181220023604,TRUE
2018,16,Matthew Stafford,matthew stafford,QB,28,28,NA,NA,DET,9451,NA,table,qb,20181220023604,TRUE
2018,16,Cody Kessler,cody kessler,QB,29,29,NA,NA,JAC,15644,NA,table,qb,20181220023604,TRUE
2018,16,Jeff Driskel,jeff driskel,QB,30,30,NA,NA,CIN,15615,NA,table,qb,20181220023604,TRUE
2018,16,Josh Rosen,josh rosen,QB,31,31,NA,NA,ARI,17235,NA,table,qb,20181220023604,TRUE
2018,16,Taysom Hill,taysom hill,QB,32,32,NA,NA,NO,17115,NA,table,qb,20181220023604,TRUE
2018,16,Taylor Heinicke,taylor heinicke,QB,33,33,NA,NA,CAR,13932,NA,table,qb,20181220023604,TRUE
2018,16,Joe Flacco,joe flacco,QB,34,34,NA,NA,BAL,9300,NA,table,qb,20181220023604,TRUE
2018,16,DeShone Kizer,deshone kizer,QB,35,35,NA,NA,GB,16389,NA,table,qb,20181220023604,TRUE
2018,16,Ryan Fitzpatrick,ryan fitzpatrick,QB,36,36,NA,NA,TB,9545,NA,table,qb,20181220023604,TRUE
2018,16,Blake Bortles,blake bortles,QB,37,37,NA,NA,JAC,12090,NA,table,qb,20181220023604,TRUE
2018,16,Christian McCaffrey,christian mccaffrey,RB,1,1,NA,NA,CAR,16393,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Ezekiel Elliott,ezekiel elliott,RB,2,2,NA,NA,DAL,15498,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Saquon Barkley,saquon barkley,RB,3,3,NA,NA,NYG,17240,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Todd Gurley,todd gurley,RB,4,4,NA,NA,LAR,13912,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Alvin Kamara,alvin kamara,RB,5,5,NA,NA,NO,16421,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Nick Chubb,nick chubb,RB,6,6,NA,NA,CLE,17246,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Joe Mixon,joe mixon,RB,7,7,NA,NA,CIN,16420,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Phillip Lindsay,phillip lindsay,RB,8,8,NA,NA,DEN,17498,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Chris Carson,chris carson,RB,9,9,NA,NA,SEA,16754,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Melvin Gordon,melvin gordon,RB,10,10,NA,NA,LAC,13903,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Dalvin Cook,dalvin cook,RB,11,11,NA,NA,MIN,16374,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Tarik Cohen,tarik cohen,RB,12,12,NA,NA,CHI,16450,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Marlon Mack,marlon mack,RB,13,13,NA,NA,IND,16444,NA,table,ppr-rb,20181221203659,TRUE
2018,16,David Johnson,david johnson,RB,14,14,NA,NA,ARI,13948,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Derrick Henry,derrick henry,RB,15,15,NA,NA,TEN,15514,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Jaylen Samuels,jaylen samuels,RB,16,16,NA,NA,PIT,17271,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Damien Williams,damien williams,RB,17,17,NA,NA,KC,12334,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Sony Michel,sony michel,RB,18,18,NA,NA,NE,17309,NA,table,ppr-rb,20181221203659,TRUE
2018,16,James White,james white,RB,19,19,NA,NA,NE,12195,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Elijah McGuire,elijah mcguire,RB,20,20,NA,NA,NYJ,16454,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Jamaal Williams,jamaal williams,RB,21,21,NA,NA,GB,16424,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Tevin Coleman,tevin coleman,RB,22,22,NA,NA,ATL,13926,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Mark Ingram,mark ingram,RB,23,23,NA,NA,NO,9872,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Leonard Fournette,leonard fournette,RB,24,24,NA,NA,JAC,16378,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Gus Edwards,gus edwards,RB,25,25,NA,NA,BAL,17687,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Kalen Ballage,kalen ballage,RB,26,26,NA,NA,MIA,17250,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Jordan Howard,jordan howard,RB,27,27,NA,NA,CHI,15585,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Theo Riddick,theo riddick,RB,28,28,NA,NA,DET,11649,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Jalen Richard,jalen richard,RB,29,29,NA,NA,OAK,16120,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Doug Martin,doug martin,RB,30,30,NA,NA,OAK,11186,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Lamar Miller,lamar miller,RB,31,31,NA,NA,HOU,11185,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Kenyan Drake,kenyan drake,RB,32,32,NA,NA,MIA,15637,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Peyton Barber,peyton barber,RB,33,33,NA,NA,TB,15920,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Dion Lewis,dion lewis,RB,34,34,NA,NA,TEN,9983,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Matt Breida,matt breida,RB,35,35,NA,NA,SF,17058,NA,table,ppr-rb,20181221203659,TRUE
2018,16,LeSean McCoy,lesean mccoy,RB,36,36,NA,NA,BUF,9398,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Josh Adams,josh adams,RB,37,37,NA,NA,PHI,17248,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Kenneth Dixon,kenneth dixon,RB,38,38,NA,NA,BAL,15577,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Duke Johnson,duke johnson,RB,39,39,NA,NA,CLE,13939,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Darren Sproles,darren sproles,RB,40,40,NA,NA,PHI,9155,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Adrian Peterson,adrian peterson,RB,41,41,NA,NA,WAS,9006,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Zach Zenner,zach zenner,RB,42,42,NA,NA,DET,14185,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Latavius Murray,latavius murray,RB,43,43,NA,NA,MIN,11821,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Mike Davis,mike davis,RB,44,44,NA,NA,SEA,13943,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Wendell Smallwood,wendell smallwood,RB,45,45,NA,NA,PHI,15672,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Chris Thompson,chris thompson,RB,46,46,NA,NA,WAS,11651,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Jeff Wilson,jeff wilson,RB,47,47,NA,NA,SF,18026,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Rex Burkhead,rex burkhead,RB,48,48,NA,NA,NE,11655,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Spencer Ware,spencer ware,RB,49,49,NA,NA,KC,11638,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Royce Freeman,royce freeman,RB,50,50,NA,NA,DEN,17245,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Nyheim Hines,nyheim hines,RB,51,51,NA,NA,IND,17297,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Alfred Blue,alfred blue,RB,52,52,NA,NA,HOU,12282,NA,table,ppr-rb,20181221203659,TRUE
2018,16,T.J. Yeldon,tj yeldon,RB,53,53,NA,NA,JAC,13941,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Giovani Bernard,giovani bernard,RB,54,54,NA,NA,CIN,11644,NA,table,ppr-rb,20181221203659,TRUE
2018,16,John Kelly,john kelly,RB,55,55,NA,NA,LAR,17304,NA,table,ppr-rb,20181221203659,TRUE
2018,16,LeGarrette Blount,legarrette blount,RB,56,56,NA,NA,DET,9717,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Justin Jackson,justin jackson,RB,57,57,NA,NA,LAC,17300,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Trenton Cannon,trenton cannon,RB,58,58,NA,NA,NYJ,17538,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Chase Edmonds,chase edmonds,RB,59,59,NA,NA,ARI,17496,NA,table,ppr-rb,20181221203659,TRUE
2018,16,James Develin,james develin,RB,60,60,NA,NA,NE,11941,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Jacquizz Rodgers,jacquizz rodgers,RB,61,61,NA,NA,TB,9894,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Kyle Juszczyk,kyle juszczyk,RB,62,62,NA,NA,SF,11798,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Jordan Wilkins,jordan wilkins,RB,63,63,NA,NA,IND,17497,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Rod Smith,rod smith,RB,64,64,NA,NA,DAL,14396,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Devontae Booker,devontae booker,RB,65,65,NA,NA,DEN,15555,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Chris Ivory,chris ivory,RB,66,66,NA,NA,BUF,9749,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Rashaad Penny,rashaad penny,RB,67,67,NA,NA,SEA,17308,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Stevan Ridley,stevan ridley,RB,68,68,NA,NA,PIT,9928,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Byron Marshall,byron marshall,RB,69,69,NA,NA,WAS,15816,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Brian Hill,brian hill,RB,70,70,NA,NA,ATL,16448,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Darrel Williams,darrel williams,RB,71,71,NA,NA,KC,17514,NA,table,ppr-rb,20181221203659,TRUE
2018,16,DeAndre Washington,deandre washington,RB,72,72,NA,NA,OAK,15806,NA,table,ppr-rb,20181221203659,TRUE
2018,16,James Conner,james conner,RB,73,73,NA,NA,PIT,16447,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Brandon Bolden,brandon bolden,RB,74,74,NA,NA,MIA,11410,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Carlos Hyde,carlos hyde,RB,75,75,NA,NA,JAC,12105,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Keith Ford,keith ford,RB,76,76,NA,NA,BUF,18084,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Charcandrick West,charcandrick west,RB,77,77,NA,NA,KC,13729,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Taquan Mizzell,taquan mizzell,RB,78,78,NA,NA,CHI,16835,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Wayne Gallman,wayne gallman,RB,79,79,NA,NA,NYG,16422,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Javorius Allen,javorius allen,RB,80,80,NA,NA,BAL,13944,NA,table,ppr-rb,20181221203659,TRUE
2018,16,David Williams,david williams,RB,81,81,NA,NA,JAC,17569,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Justin Davis,justin davis,RB,82,82,NA,NA,LAR,16746,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Ronald Jones II,ronald jones,RB,83,83,NA,NA,TB,17243,NA,table,ppr-rb,20181221203659,TRUE
2018,16,CJ Ham,cj ham,RB,85,84,NA,NA,MIN,16209,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Gregory Howell,gregory howell,RB,86,85,NA,NA,HOU,17646,NA,table,ppr-rb,20181221203659,TRUE
2018,16,J.D. McKissic,jd mckissic,RB,87,86,NA,NA,SEA,16230,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Cameron Artis-Payne,cameron artis-payne,RB,88,87,NA,NA,CAR,13942,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Alfred Morris,alfred morris,RB,89,88,NA,NA,SF,11347,NA,table,ppr-rb,20181221203659,TRUE
2018,16,D'Onta Foreman,donta foreman,RB,90,89,NA,NA,HOU,16407,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Kapri Bibbs,kapri bibbs,RB,91,90,NA,NA,GB,12343,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Alex Armah,alex armah,RB,92,91,NA,NA,CAR,16707,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Ty Montgomery,ty montgomery,RB,93,92,NA,NA,BAL,13977,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Elijhaa Penny,elijhaa penny,RB,94,93,NA,NA,NYG,16267,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Anthony Sherman,anthony sherman,RB,95,94,NA,NA,KC,9972,NA,table,ppr-rb,20181221203659,TRUE
2018,16,T.J. Logan,tj logan,RB,96,95,NA,NA,ARI,16481,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Patrick DiMarco,patrick dimarco,RB,97,96,NA,NA,BUF,12018,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Dontrell Hilliard,dontrell hilliard,RB,98,97,NA,NA,CLE,18037,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Detrez Newsome,detrez newsome,RB,99,98,NA,NA,LAC,17737,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Andy Janovich,andy janovich,RB,100,99,NA,NA,DEN,15771,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Keith Smith,keith smith,RB,101,100,NA,NA,OAK,13192,NA,table,ppr-rb,20181221203659,TRUE
2018,16,C.J. Anderson,cj anderson,RB,102,101,NA,NA,LAR,11896,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Tommy Bohanon,tommy bohanon,RB,103,102,NA,NA,JAC,11839,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Mark Walton,mark walton,RB,104,103,NA,NA,CIN,17305,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Zach Line,zach line,RB,105,104,NA,NA,NO,11920,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Jamize Olawale,jamize olawale,RB,106,105,NA,NA,DAL,11482,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Roosevelt Nix,roosevelt nix,RB,107,106,NA,NA,PIT,13505,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Tre Madden,tre madden,RB,108,107,NA,NA,SEA,16297,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Trey Edmunds,trey edmunds,RB,109,108,NA,NA,PIT,17201,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Benny Cunningham,benny cunningham,RB,110,109,NA,NA,CHI,11863,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Ameer Abdullah,ameer abdullah,RB,111,110,NA,NA,MIN,13924,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Kenjon Barner,kenjon barner,RB,112,111,NA,NA,CAR,11660,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Troymaine Pope,troymaine pope,RB,113,112,NA,NA,LAC,16335,NA,table,ppr-rb,20181221203659,TRUE
2018,16,Travis Kelce,travis kelce,TE,18,1,NA,NA,KC,11594,NA,table,flex,20181219030905,TRUE
2018,16,Zach Ertz,zach ertz,TE,40,2,NA,NA,PHI,11689,NA,table,flex,20181219030905,TRUE
2018,16,George Kittle,george kittle,TE,45,3,NA,NA,SF,16499,NA,table,flex,20181219030905,TRUE
2018,16,Eric Ebron,eric ebron,TE,48,4,NA,NA,IND,12143,NA,table,flex,20181219030905,TRUE
2018,16,Jared Cook,jared cook,TE,58,5,NA,NA,OAK,9265,NA,table,flex,20181219030905,TRUE
2018,16,Rob Gronkowski,rob gronkowski,TE,60,6,NA,NA,NE,9721,NA,table,flex,20181219030905,TRUE
2018,16,Evan Engram,evan engram,TE,79,7,NA,NA,NYG,16411,NA,table,flex,20181219030905,TRUE
2018,16,Cameron Brate,cameron brate,TE,86,8,NA,NA,TB,13470,NA,table,flex,20181219030905,TRUE
2018,16,David Njoku,david njoku,TE,93,9,NA,NA,CLE,16399,NA,table,flex,20181219030905,TRUE
2018,16,Trey Burton,trey burton,TE,105,10,NA,NA,CHI,12153,NA,table,flex,20181219030905,TRUE
2018,16,Austin Hooper,austin hooper,TE,108,11,NA,NA,ATL,15581,NA,table,flex,20181219030905,TRUE
2018,16,Vance McDonald,vance mcdonald,TE,109,12,NA,NA,PIT,11699,NA,table,flex,20181219030905,TRUE
2018,16,Chris Herndon IV,chris herndon,TE,121,13,NA,NA,NYJ,17536,NA,table,flex,20181219030905,TRUE
2018,16,Kyle Rudolph,kyle rudolph,TE,125,14,NA,NA,MIN,9906,NA,table,flex,20181219030905,TRUE
2018,16,C.J. Uzomah,cj uzomah,TE,130,15,NA,NA,CIN,14084,NA,table,flex,20181219030905,TRUE
2018,16,Gerald Everett,gerald everett,TE,134,16,NA,NA,LAR,16459,NA,table,flex,20181219030905,TRUE
2018,16,Jimmy Graham,jimmy graham,TE,140,17,NA,NA,GB,9712,NA,table,flex,20181219030905,TRUE
2018,16,Jordan Thomas,jordan thomas,TE,147,18,NA,NA,HOU,17399,NA,table,flex,20181219030905,TRUE
2018,16,Dallas Goedert,dallas goedert,TE,148,19,NA,NA,PHI,17270,NA,table,flex,20181219030905,TRUE
2018,16,Ian Thomas,ian thomas,TE,151,20,NA,NA,CAR,17387,NA,table,flex,20181219030905,TRUE
2018,16,Benjamin Watson,benjamin watson,TE,152,21,NA,NA,NO,9040,NA,table,flex,20181219030905,TRUE
2018,16,Nick Vannett,nick vannett,TE,155,22,NA,NA,SEA,15645,NA,table,flex,20181219030905,TRUE
2018,16,Vernon Davis,vernon davis,TE,164,23,NA,NA,WAS,9621,NA,table,flex,20181219030905,TRUE
2018,16,Matt LaCosse,matt lacosse,TE,165,24,NA,NA,DEN,14288,NA,table,flex,20181219030905,TRUE
2018,16,Ricky Seals-Jones,ricky seals-jones,TE,166,25,NA,NA,ARI,16730,NA,table,flex,20181219030905,TRUE
2018,16,Anthony Firkser,anthony firkser,TE,168,26,NA,NA,TEN,16787,NA,table,flex,20181219030905,TRUE
2018,16,Blake Jarwin,blake jarwin,TE,171,27,NA,NA,DAL,16638,NA,table,flex,20181219030905,TRUE
2018,16,Tyler Higbee,tyler higbee,TE,184,28,NA,NA,LAR,15623,NA,table,flex,20181219030905,TRUE
2018,16,James O'Shaughnessy,james oshaughnessy,TE,187,29,NA,NA,JAC,14146,NA,table,flex,20181219030905,TRUE
2018,16,Antonio Gates,antonio gates,TE,190,30,NA,NA,LAC,9027,NA,table,flex,20181219030905,TRUE
2018,16,Mark Andrews,mark andrews,TE,193,31,NA,NA,BAL,17269,NA,table,flex,20181219030905,TRUE
2018,16,Ed Dickson,ed dickson,TE,202,32,NA,NA,SEA,9706,NA,table,flex,20181219030905,TRUE
2018,16,Jesse James,jesse james,TE,203,33,NA,NA,PIT,13959,NA,table,flex,20181219030905,TRUE
2018,16,Lance Kendricks,lance kendricks,TE,222,34,NA,NA,GB,9912,NA,table,flex,20181219030905,TRUE
2018,16,Levine Toilolo,levine toilolo,TE,225,35,NA,NA,DET,11694,NA,table,flex,20181219030905,TRUE
2018,16,Ryan Griffin,ryan griffin,TE,226,36,NA,NA,HOU,11830,NA,table,flex,20181219030905,TRUE
2018,16,Jordan Reed,jordan reed,TE,229,37,NA,NA,WAS,11690,NA,table,flex,20181219030905,TRUE
2018,16,Charles Clay,charles clay,TE,230,38,NA,NA,BUF,10003,NA,table,flex,20181219030905,TRUE
2018,16,Mo Alie-Cox,mo alie-cox,TE,239,39,NA,NA,IND,16579,NA,table,flex,20181219030905,TRUE
2018,16,Adam Shaheen,adam shaheen,TE,241,40,NA,NA,CHI,16457,NA,table,flex,20181219030905,TRUE
2018,16,Demetrius Harris,demetrius harris,TE,245,41,NA,NA,KC,11881,NA,table,flex,20181219030905,TRUE
2018,16,Dan Arnold,dan arnold,TE,248,42,NA,NA,NO,17143,NA,table,flex,20181219030905,TRUE
2018,16,Virgil Green,virgil green,TE,251,43,NA,NA,LAC,10026,NA,table,flex,20181219030905,TRUE
2018,16,Josh Hill,josh hill,TE,253,44,NA,NA,NO,13565,NA,table,flex,20181219030905,TRUE
2018,16,Dalton Schultz,dalton schultz,TE,254,45,NA,NA,DAL,17349,NA,table,flex,20181219030905,TRUE
2018,16,Luke Stocker,luke stocker,TE,255,46,NA,NA,TEN,9948,NA,table,flex,20181219030905,TRUE
2018,16,Jordan Leggett,jordan leggett,TE,257,47,NA,NA,NYJ,16458,NA,table,flex,20181219030905,TRUE
2018,16,Lee Smith,lee smith,TE,259,48,NA,NA,OAK,9992,NA,table,flex,20181219030905,TRUE
2018,16,Mike Gesicki,mike gesicki,TE,261,49,NA,NA,MIA,17272,NA,table,flex,20181219030905,TRUE
2018,16,Maxx Williams,maxx williams,TE,265,50,NA,NA,BAL,13919,NA,table,flex,20181219030905,TRUE
