season,week,player_name,player_name_norm,position,ecr_rank,pos_rank,ecr_best,ecr_worst,team,fp_player_id,scoring,era,source_page,wayback_ts,before_kick
2020,15,Derrick Henry,derrick henry,RB,1,1,1,4,TEN,15514,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Dalvin Cook,dalvin cook,RB,2,2,1,4,MIN,16374,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Austin Ekeler,austin ekeler,RB,3,3,2,7,LAC,16483,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Aaron Jones,aaron jones,RB,4,4,1,12,GB,16673,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Nick Chubb,nick chubb,RB,5,5,4,18,CLE,17246,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Alvin Kamara,alvin kamara,RB,6,6,4,10,NO,16421,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Jonathan Taylor,jonathan taylor,RB,7,7,4,13,IND,19217,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Mike Davis,mike davis,RB,8,8,6,16,CAR,13943,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,James Robinson,james robinson,RB,9,9,6,11,JAC,19631,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Cam Akers,cam akers,RB,10,10,5,14,LAR,19268,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Miles Sanders,miles sanders,RB,11,11,8,19,PHI,18283,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,David Montgomery,david montgomery,RB,12,12,8,19,CHI,18239,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Chris Carson,chris carson,RB,13,13,9,21,SEA,16754,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Josh Jacobs,josh jacobs,RB,14,14,12,18,LV,18269,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Kenyan Drake,kenyan drake,RB,15,15,9,38,ARI,15637,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Jeff Wilson Jr.,jeff wilson,RB,16,16,6,32,SF,18026,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,D'Andre Swift,dandre swift,RB,17,17,5,22,DET,19210,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,J.K. Dobbins,jk dobbins,RB,18,18,13,29,BAL,19245,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Wayne Gallman,wayne gallman,RB,19,19,16,32,NYG,16422,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Nyheim Hines,nyheim hines,RB,20,20,15,27,IND,17297,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Ezekiel Elliott,ezekiel elliott,RB,21,21,15,28,DAL,15498,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Kareem Hunt,kareem hunt,RB,22,22,14,25,CLE,16425,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,James Conner,james conner,RB,23,23,15,34,PIT,16447,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,J.D. McKissic,jd mckissic,RB,24,24,13,27,WAS,16230,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Melvin Gordon III,melvin gordon,RB,25,25,17,27,DEN,13903,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Clyde Edwards-Helaire,clyde edwards-helaire,RB,26,26,17,39,KC,19325,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Devin Singletary,devin singletary,RB,27,27,27,43,BUF,18280,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Jamaal Williams,jamaal williams,RB,28,28,28,36,GB,16424,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Damien Harris,damien harris,RB,29,29,14,35,NE,18230,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Chase Edmonds,chase edmonds,RB,30,30,28,38,ARI,17496,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,David Johnson,david johnson,RB,31,31,20,45,HOU,13948,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,DeAndre Washington,deandre washington,RB,32,32,29,49,MIA,15806,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Gus Edwards,gus edwards,RB,33,33,28,48,BAL,17687,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Todd Gurley II,todd gurley,RB,34,34,34,56,ATL,13912,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,James White,james white,RB,35,35,20,51,NE,12195,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Giovani Bernard,giovani bernard,RB,36,36,26,54,CIN,11644,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Duke Johnson Jr.,duke johnson,RB,37,37,31,51,HOU,13939,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Lynn Bowden Jr.,lynn bowden,RB,38,38,27,42,MIA,19587,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Latavius Murray,latavius murray,RB,39,39,32,46,NO,11821,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Tony Pollard,tony pollard,RB,40,40,33,47,DAL,18705,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Peyton Barber,peyton barber,RB,41,41,28,44,WAS,15920,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Zack Moss,zack moss,RB,42,42,31,50,BUF,19263,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Phillip Lindsay,phillip lindsay,RB,43,43,37,47,DEN,17498,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Frank Gore,frank gore,RB,44,44,38,65,NYJ,9218,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Carlos Hyde,carlos hyde,RB,45,45,43,59,SEA,12105,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Ito Smith,ito smith,RB,46,46,39,64,ATL,17249,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Devontae Booker,devontae booker,RB,47,47,45,59,LV,15555,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Darrell Henderson,darrell henderson,RB,48,48,45,58,LAR,18588,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Ty Johnson,ty johnson,RB,49,49,42,69,NYJ,18406,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Le'Veon Bell,leveon bell,RB,50,50,41,59,KC,11645,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Jordan Wilkins,jordan wilkins,RB,51,51,43,63,IND,17497,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Adrian Peterson,adrian peterson,RB,52,52,43,61,DET,9006,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Kalen Ballage,kalen ballage,RB,53,53,50,65,LAC,17250,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Boston Scott,boston scott,RB,54,54,49,63,PHI,17612,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Kerryon Johnson,kerryon johnson,RB,55,55,51,72,DET,17247,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Raheem Mostert,raheem mostert,RB,56,56,19,109,SF,14338,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Ronald Jones II,ronald jones,RB,57,57,13,79,TB,17243,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,LeSean McCoy,lesean mccoy,RB,58,58,36,79,TB,9398,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Benny Snell Jr.,benny snell,RB,59,59,43,74,PIT,18609,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Samaje Perine,samaje perine,RB,60,60,54,67,CIN,16423,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Patrick Laird,patrick laird,RB,61,61,53,66,MIA,18332,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Sony Michel,sony michel,RB,62,62,28,70,NE,17309,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Trayveon Williams,trayveon williams,RB,63,63,56,73,CIN,18607,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Malcolm Brown,malcolm brown,RB,64,64,60,74,LAR,13953,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Mark Ingram II,mark ingram,RB,65,65,61,85,BAL,9872,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Matt Breida,matt breida,RB,66,66,43,81,MIA,17058,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Dion Lewis,dion lewis,RB,67,67,57,75,NYG,9983,PPR,json,ppr-rb,20201217170117,TRUE
2020,15,Tevin Coleman,tevin coleman,RB,68,68,40,82,SF,13926,PPR,json,ppr-rb,20201217170117,TRUE
