page,wayback_ts,status,week_label,n_players
half-point-ppr-rb,20200926031505,ok,3,121
half-point-ppr-rb,20201021123352,ok,7,91
half-point-ppr-rb,20201028184927,ok,8,108
half-point-ppr-rb,20201101000330,ok,8,108
half-point-ppr-rb,20201104105950,ok,9,102
half-point-ppr-rb,20201114235247,ok,10,111
half-point-ppr-rb,20201119053024,ok,11,109
half-point-ppr-rb,20201219180420,ok,15,131
half-point-ppr-rb,20210108042651,ok,18,41
half-point-ppr-rb,20210907041444,ok,1,122
half-point-ppr-rb,20210909123132,ok,1,147
half-point-ppr-rb,20210914031151,ok,1,141
half-point-ppr-rb,20210916133315,ok,2,122
half-point-ppr-rb,20210917180448,ok,2,130
half-point-ppr-rb,20210927025356,ok,3,121
half-point-ppr-rb,20211004041744,ok,4,126
half-point-ppr-rb,20211011050758,ok,5,118
half-point-ppr-rb,20211018061237,ok,6,98
half-point-ppr-rb,20211021131129,ok,7,92
half-point-ppr-rb,20211025083023,ok,7,93
half-point-ppr-rb,20211101141806,ok,8,105
half-point-ppr-rb,20211108190852,ok,9,111
half-point-ppr-rb,20211115205257,ok,10,108
half-point-ppr-rb,20211122185218,ok,11,109
half-point-ppr-rb,20211129174710,ok,12,109
half-point-ppr-rb,20211130171115,ok,13,86
half-point-ppr-rb,20211204063819,ok,13,106
half-point-ppr-rb,20211207172441,parse_fail,NA,0
half-point-ppr-rb,20211214015614,ok,14,111
half-point-ppr-rb,20211215004100,ok,15,107
half-point-ppr-rb,20211222012846,ok,15,121
half-point-ppr-rb,20211230003557,ok,17,108
half-point-ppr-rb,20220106025200,ok,18,109
half-point-ppr-rb,20220906154030,ok,1,124
half-point-ppr-rb,20220913173716,ok,2,118
half-point-ppr-rb,20220919050120,ok,2,127
half-point-ppr-rb,20220929025514,ok,4,114
half-point-ppr-rb,20221001221805,ok,4,115
half-point-ppr-rb,20221003093803,ok,4,113
half-point-ppr-rb,20221008030354,ok,5,123
half-point-ppr-rb,20221015074449,ok,6,104
half-point-ppr-rb,20221018035215,ok,6,100
half-point-ppr-rb,20221022080254,ok,7,114
half-point-ppr-rb,20221028005845,ok,8,127
half-point-ppr-rb,20221029080159,ok,8,123
half-point-ppr-rb,20221105075609,ok,9,104
half-point-ppr-rb,20221112155819,ok,10,118
half-point-ppr-rb,20221126113240,ok,12,123
half-point-ppr-rb,20221203115907,ok,13,121
half-point-ppr-rb,20221210144254,ok,14,108
half-point-ppr-rb,20221217143508,ok,15,130
half-point-ppr-rb,20221224203506,ok,16,120
half-point-ppr-rb,20221231154226,ok,17,122
half-point-ppr-rb,20230107215055,ok,18,114
half-point-ppr-rb,20230913002819,ok,2,124
half-point-ppr-rb,20230915001613,ok,2,158
half-point-ppr-rb,20230917202841,ok,2,145
half-point-ppr-rb,20230920194736,ok,3,108
half-point-ppr-rb,20230926062512,ok,4,104
half-point-ppr-rb,20231004001721,ok,5,96
half-point-ppr-rb,20231009073111,ok,5,100
half-point-ppr-rb,20231012195221,ok,6,108
half-point-ppr-rb,20231015202935,ok,6,107
half-point-ppr-rb,20231219015245,ok,15,114
half-point-ppr-rb,20240905160343,ok,1,142
half-point-ppr-rb,20240912170238,ok,2,125
half-point-ppr-rb,20240918190417,ok,3,109
half-point-ppr-rb,20240919183917,ok,3,113
half-point-ppr-rb,20240926195519,ok,4,109
half-point-ppr-rb,20241003212742,ok,5,107
half-point-ppr-rb,20241006140254,ok,5,105
half-point-ppr-rb,20241008024843,ok,5,98
half-point-ppr-rb,20241122194930,ok,12,103
half-point-ppr-rb,20241123225204,ok,12,103
half-point-ppr-rb,20241218115256,ok,16,103
half-point-ppr-rb,20250901121637,ok,1,100
half-point-ppr-rb,20250903050327,ok,1,117
half-point-ppr-rb,20250912055340,ok,2,166
half-point-ppr-rb,20250915021515,ok,2,155
half-point-ppr-rb,20250916190557,ok,3,95
half-point-ppr-rb,20250917212444,ok,3,102
half-point-ppr-rb,20251016230959,ok,7,102
half-point-ppr-rb,20251017234526,ok,7,104
half-point-ppr-rb,20251021161540,ok,8,75
half-point-ppr-rb,20251107042930,ok,10,106
half-point-ppr-rb,20251112053347,ok,11,137
half-point-ppr-rb,20251123184719,ok,12,114
half-point-ppr-rb,20251219041942,ok,16,138
half-point-ppr-te,20171117125448,parse_fail,NA,0
half-point-ppr-te,20191113104631,ok,11,62
half-point-ppr-te,20200916072319,ok,2,65
half-point-ppr-te,20200922221223,ok,3,41
half-point-ppr-te,20200930132855,ok,4,52
half-point-ppr-te,20201005195332,ok,4,89
half-point-ppr-te,20201028195702,ok,8,67
half-point-ppr-te,20201031070305,ok,8,89
half-point-ppr-te,20201104110335,ok,9,74
half-point-ppr-te,20210907041920,ok,1,73
half-point-ppr-te,20210914031945,ok,1,110
half-point-ppr-te,20210927025735,ok,3,105
half-point-ppr-te,20211004042121,ok,4,112
half-point-ppr-te,20211011051143,ok,5,101
half-point-ppr-te,20211018061627,ok,6,82
half-point-ppr-te,20211025083435,ok,7,75
half-point-ppr-te,20211101142216,ok,8,87
half-point-ppr-te,20211108191231,ok,9,96
half-point-ppr-te,20211115205709,ok,10,85
half-point-ppr-te,20211122185608,ok,11,94
half-point-ppr-te,20211129175051,ok,12,91
half-point-ppr-te,20211130171501,ok,13,44
half-point-ppr-te,20211202202844,ok,13,91
half-point-ppr-te,20211214020051,ok,14,87
half-point-ppr-te,20211215004433,ok,15,88
half-point-ppr-te,20211222013229,ok,15,102
half-point-ppr-te,20211230003932,ok,17,92
half-point-ppr-te,20220106025543,ok,18,76
half-point-ppr-te,20220906155006,ok,1,68
half-point-ppr-te,20220913082730,ok,2,81
half-point-ppr-te,20220920162226,ok,3,89
half-point-ppr-te,20220927171550,ok,4,105
half-point-ppr-te,20220929012830,ok,4,108
half-point-ppr-te,20221008011255,ok,5,108
half-point-ppr-te,20221015023349,ok,6,96
half-point-ppr-te,20221022043636,ok,7,100
half-point-ppr-te,20221029061525,ok,8,115
half-point-ppr-te,20221105060527,ok,9,90
half-point-ppr-te,20221112142452,ok,10,99
half-point-ppr-te,20221119141753,ok,11,95
half-point-ppr-te,20221126091929,ok,12,100
half-point-ppr-te,20221203090504,ok,13,97
half-point-ppr-te,20221210102024,ok,14,89
half-point-ppr-te,20221217114713,ok,15,110
half-point-ppr-te,20221224184815,ok,16,104
half-point-ppr-te,20221231132910,ok,17,105
half-point-ppr-te,20230107174758,ok,18,90
half-point-ppr-te,20230915032007,ok,2,112
half-point-ppr-te,20231012195225,ok,6,85
half-point-ppr-te,20241110001635,ok,10,92
half-point-ppr-te,20250905192820,ok,1,142
half-point-ppr-wr,20191109022936,ok,10,133
half-point-ppr-wr,20191110022958,ok,10,132
half-point-ppr-wr,20191111022943,ok,10,138
half-point-ppr-wr,20191112023042,ok,10,138
half-point-ppr-wr,20191113023022,ok,11,112
half-point-ppr-wr,20191120042018,ok,12,114
half-point-ppr-wr,20191214023141,ok,15,161
half-point-ppr-wr,20200913020815,ok,1,178
half-point-ppr-wr,20200916091017,ok,2,127
half-point-ppr-wr,20200928134114,ok,3,164
half-point-ppr-wr,20201002191025,ok,4,157
half-point-ppr-wr,20201028192235,ok,8,129
half-point-ppr-wr,20201101075810,ok,8,147
half-point-ppr-wr,20201104110149,ok,9,138
half-point-ppr-wr,20201129031732,ok,12,166
half-point-ppr-wr,20210907041617,ok,1,130
half-point-ppr-wr,20210914031647,ok,1,205
half-point-ppr-wr,20210927025546,ok,3,171
half-point-ppr-wr,20211004041934,ok,4,177
half-point-ppr-wr,20211011050953,ok,5,174
half-point-ppr-wr,20211018061437,ok,6,143
half-point-ppr-wr,20211025083230,ok,7,138
half-point-ppr-wr,20211101142015,ok,8,158
half-point-ppr-wr,20211108191044,ok,9,157
half-point-ppr-wr,20211115205505,ok,10,157
half-point-ppr-wr,20211122185414,ok,11,161
half-point-ppr-wr,20211129174904,ok,12,160
half-point-ppr-wr,20211130171308,ok,13,112
half-point-ppr-wr,20211202074222,ok,13,155
half-point-ppr-wr,20211214015833,ok,14,156
half-point-ppr-wr,20211215004244,ok,15,145
half-point-ppr-wr,20211222013039,ok,15,175
half-point-ppr-wr,20211230003749,ok,17,155
half-point-ppr-wr,20220106025352,ok,18,147
half-point-ppr-wr,20220906154540,ok,1,140
half-point-ppr-wr,20220913082520,ok,2,149
half-point-ppr-wr,20220920161728,ok,3,138
half-point-ppr-wr,20220927170044,ok,4,172
half-point-ppr-wr,20220929012551,ok,4,178
half-point-ppr-wr,20220930094803,ok,4,178
half-point-ppr-wr,20221008011103,ok,5,171
half-point-ppr-wr,20221015023137,ok,6,151
half-point-ppr-wr,20221022043440,ok,7,169
half-point-ppr-wr,20221023005620,ok,7,153
half-point-ppr-wr,20221029061117,ok,8,178
half-point-ppr-wr,20221105060319,ok,9,152
half-point-ppr-wr,20221112142047,ok,10,160
half-point-ppr-wr,20221119135147,ok,11,155
half-point-ppr-wr,20221126091717,ok,12,180
half-point-ppr-wr,20221203085030,ok,13,160
half-point-ppr-wr,20221210101735,ok,14,136
half-point-ppr-wr,20221217114412,ok,15,174
half-point-ppr-wr,20221224184243,ok,16,160
half-point-ppr-wr,20221231132714,ok,17,169
half-point-ppr-wr,20230107174411,ok,18,166
half-point-ppr-wr,20230913002808,ok,2,162
half-point-ppr-wr,20230926062628,ok,4,114
half-point-ppr-wr,20230930095218,ok,4,170
half-point-ppr-wr,20241002001211,ok,5,143
half-point-ppr-wr,20241121014017,ok,12,141
half-point-ppr-wr,20241207192618,ok,14,149
half-point-ppr-wr,20250911151450,ok,2,226
half-point-ppr-wr,20251111141040,ok,11,109
ppr-flex,20160104181520,parse_fail,NA,0
ppr-flex,20170922173147,ok,3,322
ppr-flex,20181214073913,ok,15,275
ppr-flex,20191018200416,ok,7,311
ppr-flex,20191207063823,ok,14,363
ppr-flex,20201001135042,ok,4,356
ppr-flex,20201003222325,ok,4,350
ppr-flex,20201104110540,ok,9,282
ppr-flex,20201106171705,ok,9,344
ppr-flex,20210907044143,ok,1,341
ppr-flex,20210914032243,ok,1,448
ppr-flex,20210927030006,ok,3,392
ppr-flex,20211004042335,ok,4,413
ppr-flex,20211011051418,ok,5,388
ppr-flex,20211016085849,ok,6,320
ppr-flex,20211018061900,ok,6,323
