season,week,player_name,player_name_norm,position,ecr_rank,pos_rank,ecr_best,ecr_worst,team,fp_player_id,scoring,era,source_page,wayback_ts,before_kick
2020,2,Lamar Jackson,lamar jackson,QB,1,1,NA,NA,BAL,17233,NA,table,qb,20200917221336,TRUE
2020,2,Patrick Mahomes II,patrick mahomes,QB,2,2,NA,NA,KC,16413,NA,table,qb,20200917221336,TRUE
2020,2,Dak Prescott,dak prescott,QB,3,3,NA,NA,DAL,15600,NA,table,qb,20200917221336,TRUE
2020,2,Josh Allen,josh allen,QB,4,4,NA,NA,BUF,17298,NA,table,qb,20200917221336,TRUE
2020,2,Kyler Murray,kyler murray,QB,5,5,NA,NA,ARI,18600,NA,table,qb,20200917221336,TRUE
2020,2,Russell Wilson,russell wilson,QB,6,6,NA,NA,SEA,11180,NA,table,qb,20200917221336,TRUE
2020,2,Matt Ryan,matt ryan,QB,7,7,NA,NA,ATL,9444,NA,table,qb,20200917221336,TRUE
2020,2,Aaron Rodgers,aaron rodgers,QB,8,8,NA,NA,GB,9001,NA,table,qb,20200917221336,TRUE
2020,2,Deshaun Watson,deshaun watson,QB,9,9,NA,NA,HOU,16398,NA,table,qb,20200917221336,TRUE
2020,2,Tom Brady,tom brady,QB,10,10,NA,NA,TB,9603,NA,table,qb,20200917221336,TRUE
2020,2,Drew Brees,drew brees,QB,11,11,NA,NA,NO,9200,NA,table,qb,20200917221336,TRUE
2020,2,Cam Newton,cam newton,QB,12,12,NA,NA,NE,9869,NA,table,qb,20200917221336,TRUE
2020,2,Ben Roethlisberger,ben roethlisberger,QB,13,13,NA,NA,PIT,9039,NA,table,qb,20200917221336,TRUE
2020,2,Matthew Stafford,matthew stafford,QB,14,14,NA,NA,DET,9451,NA,table,qb,20200917221336,TRUE
2020,2,Carson Wentz,carson wentz,QB,15,15,NA,NA,PHI,15520,NA,table,qb,20200917221336,TRUE
2020,2,Jared Goff,jared goff,QB,16,16,NA,NA,LAR,15501,NA,table,qb,20200917221336,TRUE
2020,2,Ryan Tannehill,ryan tannehill,QB,17,17,NA,NA,TEN,11174,NA,table,qb,20200917221336,TRUE
2020,2,Jimmy Garoppolo,jimmy garoppolo,QB,18,18,NA,NA,SF,12208,NA,table,qb,20200917221336,TRUE
2020,2,Gardner Minshew II,gardner minshew,QB,19,19,NA,NA,JAC,18562,NA,table,qb,20200917221336,TRUE
2020,2,Philip Rivers,philip rivers,QB,20,20,NA,NA,IND,9509,NA,table,qb,20200917221336,TRUE
2020,2,Joe Burrow,joe burrow,QB,21,21,NA,NA,CIN,19196,NA,table,qb,20200917221336,TRUE
2020,2,Kirk Cousins,kirk cousins,QB,22,22,NA,NA,MIN,11177,NA,table,qb,20200917221336,TRUE
2020,2,Mitchell Trubisky,mitchell trubisky,QB,23,23,NA,NA,CHI,16381,NA,table,qb,20200917221336,TRUE
2020,2,Tyrod Taylor,tyrod taylor,QB,24,24,NA,NA,LAC,10007,NA,table,qb,20200917221336,TRUE
2020,2,Teddy Bridgewater,teddy bridgewater,QB,25,25,NA,NA,CAR,12088,NA,table,qb,20200917221336,TRUE
2020,2,Derek Carr,derek carr,QB,26,26,NA,NA,LV,12092,NA,table,qb,20200917221336,TRUE
2020,2,Daniel Jones,daniel jones,QB,27,27,NA,NA,NYG,18232,NA,table,qb,20200917221336,TRUE
2020,2,Baker Mayfield,baker mayfield,QB,28,28,NA,NA,CLE,17237,NA,table,qb,20200917221336,TRUE
2020,2,Dwayne Haskins,dwayne haskins,QB,29,29,NA,NA,WAS,18214,NA,table,qb,20200917221336,TRUE
2020,2,Drew Lock,drew lock,QB,30,30,NA,NA,DEN,18225,NA,table,qb,20200917221336,TRUE
2020,2,Ryan Fitzpatrick,ryan fitzpatrick,QB,31,31,NA,NA,MIA,9545,NA,table,qb,20200917221336,TRUE
2020,2,Sam Darnold,sam darnold,QB,32,32,NA,NA,NYJ,17236,NA,table,qb,20200917221336,TRUE
2020,2,Taysom Hill,taysom hill,QB,33,33,NA,NA,NO,17115,NA,table,qb,20200917221336,TRUE
2020,2,Nick Foles,nick foles,QB,34,34,NA,NA,CHI,11176,NA,table,qb,20200917221336,TRUE
2020,2,Justin Herbert,justin herbert,QB,35,35,NA,NA,LAC,18635,NA,table,qb,20200917221336,TRUE
2020,2,Tua Tagovailoa,tua tagovailoa,QB,36,36,NA,NA,MIA,19198,NA,table,qb,20200917221336,TRUE
2020,2,Jacoby Brissett,jacoby brissett,QB,37,37,NA,NA,IND,15642,NA,table,qb,20200917221336,TRUE
